open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,date
3.64,3.62,3.66,3.61,3868400.0,14055000.0,2024,3,5,10,0,2024-03-05 10:00,2024-03-05 10:00:00
3.61,3.59,3.63,3.58,4970400.0,17881136.0,2024,3,5,10,30,2024-03-05 10:30,2024-03-05 10:30:00
3.59,3.58,3.59,3.56,2672900.0,9564432.0,2024,3,5,11,0,2024-03-05 11:00,2024-03-05 11:00:00
3.58,3.59,3.59,3.57,874500.0,3130589.0,2024,3,5,11,30,2024-03-05 11:30,2024-03-05 11:30:00
3.58,3.59,3.59,3.57,1058800.0,3790959.0,2024,3,5,13,30,2024-03-05 13:30,2024-03-05 13:30:00
3.58,3.58,3.59,3.57,951900.0,3409144.0,2024,3,5,14,0,2024-03-05 14:00,2024-03-05 14:00:00
3.58,3.58,3.59,3.57,1060800.0,3795815.0,2024,3,5,14,30,2024-03-05 14:30,2024-03-05 14:30:00
3.57,3.57,3.59,3.57,1618000.0,5788106.0,2024,3,5,15,0,2024-03-05 15:00,2024-03-05 15:00:00
3.55,3.65,3.68,3.55,7104100.0,25867464.0,2024,3,6,10,0,2024-03-06 10:00,2024-03-06 10:00:00
3.65,3.66,3.74,3.65,13390200.0,49558240.0,2024,3,6,10,30,2024-03-06 10:30,2024-03-06 10:30:00
3.66,3.66,3.69,3.65,1835000.0,6734505.0,2024,3,6,11,0,2024-03-06 11:00,2024-03-06 11:00:00
3.67,3.66,3.67,3.65,691500.0,2529680.0,2024,3,6,11,30,2024-03-06 11:30,2024-03-06 11:30:00
3.66,3.66,3.67,3.65,913700.0,3346600.0,2024,3,6,13,30,2024-03-06 13:30,2024-03-06 13:30:00
3.66,3.67,3.67,3.66,737000.0,2699457.0,2024,3,6,14,0,2024-03-06 14:00,2024-03-06 14:00:00
3.66,3.64,3.67,3.64,1638900.0,5981568.0,2024,3,6,14,30,2024-03-06 14:30,2024-03-06 14:30:00
3.65,3.65,3.65,3.64,1769700.0,6451272.0,2024,3,6,15,0,2024-03-06 15:00,2024-03-06 15:00:00
3.66,3.67,3.69,3.62,7700300.0,28095256.0,2024,3,7,10,0,2024-03-07 10:00,2024-03-07 10:00:00
3.67,3.7,3.71,3.66,5070200.0,18690752.0,2024,3,7,10,30,2024-03-07 10:30,2024-03-07 10:30:00
3.7,3.71,3.73,3.7,4392500.0,16304395.0,2024,3,7,11,0,2024-03-07 11:00,2024-03-07 11:00:00
