open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,date
10.1,10.19,10.4,10.01,1141.0,1153309.0,2002,6,4,15,0,2002-06-04 15:00,2002-06-04 15:00:00
10.15,9.49,10.15,9.45,2502.0,2422020.0,2002,6,5,15,0,2002-06-05 15:00,2002-06-05 15:00:00
9.55,9.98,10.19,9.3,4016.0,3895340.0,2002,6,6,15,0,2002-06-06 15:00,2002-06-06 15:00:00
10.0,9.98,10.17,9.78,3454.0,3457426.0,2002,6,7,15,0,2002-06-07 15:00,2002-06-07 15:00:00
9.98,9.76,9.98,9.68,1969.0,1928211.0,2002,6,10,15,0,2002-06-10 15:00,2002-06-10 15:00:00
9.76,9.98,9.98,9.62,2076.0,2048890.0,2002,6,11,15,0,2002-06-11 15:00,2002-06-11 15:00:00
9.98,10.12,10.47,9.95,5839.0,5974397.0,2002,6,12,15,0,2002-06-12 15:00,2002-06-12 15:00:00
10.2,9.85,10.2,9.82,2399.0,2389289.0,2002,6,13,15,0,2002-06-13 15:00,2002-06-13 15:00:00
9.75,9.61,9.85,9.6,1745.0,1692185.0,2002,6,14,15,0,2002-06-14 15:00,2002-06-14 15:00:00
9.42,9.64,9.68,9.42,813.0,777307.0,2002,6,17,15,0,2002-06-17 15:00,2002-06-17 15:00:00
9.64,9.87,9.9,9.64,2862.0,2809697.0,2002,6,18,15,0,2002-06-18 15:00,2002-06-18 15:00:00
9.9,9.7,9.9,9.65,1603.0,1561319.0,2002,6,19,15,0,2002-06-19 15:00,2002-06-19 15:00:00
9.56,9.75,9.85,9.52,1294.0,1267244.0,2002,6,20,15,0,2002-06-20 15:00,2002-06-20 15:00:00
9.79,10.09,10.23,9.71,7776.0,7788470.0,2002,6,21,15,0,2002-06-21 15:00,2002-06-21 15:00:00
10.9,11.04,11.1,10.45,35162.0,38442412.0,2002,6,24,15,0,2002-06-24 15:00,2002-06-24 15:00:00
11.02,10.56,11.04,10.47,19816.0,21366532.0,2002,6,25,15,0,2002-06-25 15:00,2002-06-25 15:00:00
10.5,10.66,10.79,10.4,9313.0,9925954.0,2002,6,26,15,0,2002-06-26 15:00,2002-06-26 15:00:00
10.78,10.46,10.78,10.42,8388.0,8867985.0,2002,6,27,15,0,2002-06-27 15:00,2002-06-27 15:00:00
