open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,date
6.19,6.2,6.25,6.15,410200.0,2543844.0,2024,10,18,9,45,2024-10-18 09:45,2024-10-18 09:45:00
6.2,6.19,6.23,6.18,357700.0,2221128.0,2024,10,18,10,0,2024-10-18 10:00,2024-10-18 10:00:00
6.19,6.21,6.22,6.18,202700.0,1257367.0,2024,10,18,10,15,2024-10-18 10:15,2024-10-18 10:15:00
6.2,6.25,6.25,6.2,292100.0,1816010.0,2024,10,18,10,30,2024-10-18 10:30,2024-10-18 10:30:00
6.25,6.23,6.26,6.23,166400.0,1039642.0,2024,10,18,10,45,2024-10-18 10:45,2024-10-18 10:45:00
6.23,6.23,6.25,6.21,71700.0,446915.0,2024,10,18,11,0,2024-10-18 11:00,2024-10-18 11:00:00
6.21,6.2,6.22,6.19,120300.0,746630.0,2024,10,18,11,15,2024-10-18 11:15,2024-10-18 11:15:00
6.2,6.22,6.22,6.19,61300.0,380747.0,2024,10,18,11,30,2024-10-18 11:30,2024-10-18 11:30:00
6.23,6.25,6.26,6.22,386500.0,2413307.0,2024,10,18,13,15,2024-10-18 13:15,2024-10-18 13:15:00
6.25,6.26,6.27,6.24,391500.0,2450078.0,2024,10,18,13,30,2024-10-18 13:30,2024-10-18 13:30:00
6.26,6.26,6.27,6.25,223900.0,1400880.0,2024,10,18,13,45,2024-10-18 13:45,2024-10-18 13:45:00
6.26,6.28,6.29,6.25,295400.0,1852744.75,2024,10,18,14,0,2024-10-18 14:00,2024-10-18 14:00:00
6.28,6.29,6.29,6.26,395100.0,2480408.25,2024,10,18,14,15,2024-10-18 14:15,2024-10-18 14:15:00
6.29,6.31,6.31,6.29,643300.0,4052524.0,2024,10,18,14,30,2024-10-18 14:30,2024-10-18 14:30:00
6.3,6.32,6.35,6.29,1065200.0,6726656.0,2024,10,18,14,45,2024-10-18 14:45,2024-10-18 14:45:00
6.32,6.27,6.32,6.27,451200.0,2839257.0,2024,10,18,15,0,2024-10-18 15:00,2024-10-18 15:00:00
6.28,6.34,6.35,6.27,889100.0,5613345.0,2024,10,21,9,45,2024-10-21 09:45,2024-10-21 09:45:00
6.35,6.27,6.35,6.26,370300.0,2334312.0,2024,10,21,10,0,2024-10-21 10:00,2024-10-21 10:00:00
6.27,6.36,6.37,6.27,477600.0,3020585.0,2024,10,21,10,15,2024-10-21 10:15,2024-10-21 10:15:00
6.36,6.36,6.38,6.32,326800.0,2075588.0,2024,10,21,10,30,2024-10-21 10:30,2024-10-21 10:30:00
6.35,6.36,6.39,6.33,396800.0,2525370.0,2024,10,21,10,45,2024-10-21 10:45,2024-10-21 10:45:00
6.35,6.33,6.36,6.32,113700.0,720878.0,2024,10,21,11,0,2024-10-21 11:00,2024-10-21 11:00:00
6.33,6.34,6.35,6.33,185600.0,1176774.0,2024,10,21,11,15,2024-10-21 11:15,2024-10-21 11:15:00
6.35,6.33,6.35,6.33,195900.0,1243419.0,2024,10,21,11,30,2024-10-21 11:30,2024-10-21 11:30:00
6.34,6.35,6.37,6.33,446300.0,2832202.0,2024,10,21,13,15,2024-10-21 13:15,2024-10-21 13:15:00
6.34,6.29,6.34,6.29,242900.0,1534703.0,2024,10,21,13,30,2024-10-21 13:30,2024-10-21 13:30:00
6.31,6.31,6.32,6.29,357700.0,2254270.0,2024,10,21,13,45,2024-10-21 13:45,2024-10-21 13:45:00
6.31,6.26,6.32,6.26,362000.0,2277862.0,2024,10,21,14,0,2024-10-21 14:00,2024-10-21 14:00:00
6.26,6.26,6.28,6.25,240100.0,1504175.0,2024,10,21,14,15,2024-10-21 14:15,2024-10-21 14:15:00
6.26,6.26,6.27,6.24,311400.0,1946115.0,2024,10,21,14,30,2024-10-21 14:30,2024-10-21 14:30:00
6.25,6.29,6.29,6.25,286200.0,1794106.0,2024,10,21,14,45,2024-10-21 14:45,2024-10-21 14:45:00
6.28,6.29,6.32,6.27,409700.0,2576142.0,2024,10,21,15,0,2024-10-21 15:00,2024-10-21 15:00:00
6.3,6.38,6.41,6.29,731900.0,4663333.0,2024,10,22,9,45,2024-10-22 09:45,2024-10-22 09:45:00
6.37,6.38,6.39,6.33,230500.0,1466719.0,2024,10,22,10,0,2024-10-22 10:00,2024-10-22 10:00:00
6.37,6.38,6.4,6.37,417000.0,2662847.0,2024,10,22,10,15,2024-10-22 10:15,2024-10-22 10:15:00
6.38,6.39,6.39,6.38,161500.0,1030958.0,2024,10,22,10,30,2024-10-22 10:30,2024-10-22 10:30:00
6.39,6.37,6.4,6.37,235200.0,1502035.0,2024,10,22,10,45,2024-10-22 10:45,2024-10-22 10:45:00
6.37,6.37,6.38,6.35,162700.0,1035802.0,2024,10,22,11,0,2024-10-22 11:00,2024-10-22 11:00:00
6.38,6.38,6.39,6.37,349700.0,2231204.0,2024,10,22,11,15,2024-10-22 11:15,2024-10-22 11:15:00
6.38,6.38,6.38,6.37,176500.0,1124915.0,2024,10,22,11,30,2024-10-22 11:30,2024-10-22 11:30:00
6.38,6.38,6.39,6.37,273900.0,1748471.0,2024,10,22,13,15,2024-10-22 13:15,2024-10-22 13:15:00
6.38,6.36,6.38,6.34,235500.0,1497292.0,2024,10,22,13,30,2024-10-22 13:30,2024-10-22 13:30:00
